fold,number,count
0,0,600
0,1,600
0,2,600
0,3,600
0,4,600
0,5,600
0,6,600
0,7,600
0,8,600
0,9,600
1,0,600
1,1,600
1,2,600
1,3,600
1,4,600
1,5,600
1,6,600
1,7,600
1,8,600
1,9,600
2,0,600
2,1,600
2,2,600
2,3,600
2,4,600
2,5,600
2,6,600
2,7,600
2,8,600
2,9,600
3,0,600
3,1,600
3,2,600
3,3,600
3,4,600
3,5,600
3,6,600
3,7,600
3,8,600
3,9,600
4,0,600
4,1,600
4,2,600
4,3,600
4,4,600
4,5,600
4,6,600
4,7,600
4,8,600
4,9,600
5,0,600
5,1,600
5,2,600
5,3,600
5,4,600
5,5,600
5,6,600
5,7,600
5,8,600
5,9,600
6,0,600
6,1,600
6,2,600
6,3,600
6,4,600
6,5,600
6,6,600
6,7,600
6,8,600
6,9,600
7,0,600
7,1,600
7,2,600
7,3,600
7,4,600
7,5,600
7,6,600
7,7,600
7,8,600
7,9,600
8,0,600
8,1,600
8,2,600
8,3,600
8,4,600
8,5,600
8,6,600
8,7,600
8,8,600
8,9,600
9,0,600
9,1,600
9,2,600
9,3,600
9,4,600
9,5,600
9,6,600
9,7,600
9,8,600
9,9,600
holdout,0,1000
holdout,1,1000
holdout,2,1000
holdout,3,1000
holdout,4,1000
holdout,5,1000
holdout,6,1000
holdout,7,1000
holdout,8,1000
holdout,9,1000
